start_time,architecture,dataset,input_size,batch_size,return_code
2023-11-20 22:53:08,inception_v3,caltech101,128,64,0
2023-11-20 23:05:56,inception_v3,stanford_dogs,128,32,0
2023-11-20 23:32:09,inception_v3,caltech101,64,64,0
2023-11-20 23:40:29,inception_v3,caltech101,128,32,0
2023-11-20 23:54:53,inception_v3,caltech101,128,64,0
2023-11-21 00:06:34,inception_v3,caltech101,64,32,0
2023-11-21 00:16:38,inception_v3,stanford_dogs,64,64,0
2023-11-21 00:28:33,inception_v3,caltech101,128,32,0
2023-11-21 00:41:43,inception_v3,stanford_dogs,64,256,0
2023-11-21 00:50:58,inception_v3,caltech101,224,32,0
2023-11-21 01:19:52,inception_v3,stanford_dogs,224,256,0
2023-11-21 02:01:18,inception_v3,caltech101,64,32,0
2023-11-21 02:11:23,inception_v3,caltech101,224,64,0
2023-11-21 02:35:07,inception_v3,stanford_dogs,224,256,0
2023-11-21 03:16:27,inception_v3,stanford_dogs,128,32,0
2023-11-21 03:41:37,inception_v3,stanford_dogs,64,64,0
2023-11-21 03:54:12,inception_v3,caltech101,128,256,0
2023-11-21 04:03:44,inception_v3,stanford_dogs,224,64,0
2023-11-21 04:53:07,inception_v3,caltech101,64,64,0
2023-11-21 05:01:32,inception_v3,stanford_dogs,224,64,0
2023-11-21 05:48:58,inception_v3,caltech101,224,32,0
2023-11-21 06:15:50,inception_v3,stanford_dogs,64,64,0
2023-11-21 06:27:57,inception_v3,caltech101,64,64,0
2023-11-21 06:36:28,inception_v3,caltech101,64,256,0
2023-11-21 06:43:39,inception_v3,stanford_dogs,64,32,0
2023-11-21 07:00:48,inception_v3,caltech101,128,64,0
2023-11-21 07:12:25,inception_v3,caltech101,64,256,0
2023-11-21 07:19:39,inception_v3,caltech101,224,64,0
2023-11-21 07:42:05,inception_v3,caltech101,224,64,0
2023-11-21 08:04:20,inception_v3,caltech101,128,64,0
2023-11-21 08:15:49,inception_v3,caltech101,128,32,0
2023-11-21 08:29:12,inception_v3,caltech101,64,64,0
2023-11-21 08:37:36,inception_v3,caltech101,224,32,0
2023-11-21 09:06:28,inception_v3,stanford_dogs,64,64,0
2023-11-21 09:18:52,inception_v3,caltech101,64,256,0
2023-11-21 09:26:05,inception_v3,stanford_dogs,224,64,0
2023-11-21 10:24:16,inception_v3,stanford_dogs,64,32,0
2023-11-21 10:40:24,inception_v3,stanford_dogs,224,256,0
2023-11-21 11:18:24,inception_v3,caltech101,64,256,0
2023-11-21 11:25:34,inception_v3,stanford_dogs,128,256,0
2023-11-21 11:40:55,inception_v3,caltech101,224,32,0
2023-11-21 12:08:19,inception_v3,stanford_dogs,128,64,0
2023-11-21 12:28:06,inception_v3,stanford_dogs,224,256,0
2023-11-21 13:06:09,inception_v3,stanford_dogs,224,32,0
2023-11-21 14:03:09,inception_v3,stanford_dogs,128,256,0
2023-11-21 14:18:28,inception_v3,stanford_dogs,64,256,0
2023-11-21 14:27:48,inception_v3,stanford_dogs,128,256,0
2023-11-21 14:43:00,inception_v3,caltech101,128,256,0
2023-11-21 14:52:55,inception_v3,caltech101,224,64,0
2023-11-21 15:17:51,inception_v3,stanford_dogs,128,32,0
2023-11-21 15:41:56,inception_v3,caltech101,224,64,0
2023-11-21 16:04:25,inception_v3,caltech101,224,32,0
2023-11-21 16:31:49,inception_v3,caltech101,64,32,0
