architecture,dataset,input_size,batch_size
nasnet_mobile,chesslive,128,32
nasnet_mobile,chesslive,128,32
nasnet_mobile,chesslive,128,32
nasnet_mobile,chesslive,128,32
vgg16,chesslive,128,32
vgg16,chesslive,128,32
xception,chesslive,128,32
vgg16,chesslive,128,32
vgg16,chesslive,128,32
resnet50,chesslive,128,32
resnet50,chesslive,128,32
xception,chesslive,128,32
resnet50,chesslive,128,32
resnet50,chesslive,128,32
nasnet_mobile,chesslive,128,32
xception,chesslive,128,32
mobilenet_v2,chesslive,128,32
xception,chesslive,128,32
xception,chesslive,128,32
nasnet_mobile,chesslive,128,32
resnet50,chesslive,128,32
resnet50,chesslive,128,32
resnet50,chesslive,128,32
nasnet_mobile,chesslive,128,32
resnet50,chesslive,128,32
nasnet_mobile,chesslive,128,32
resnet50,chesslive,128,32
resnet50,chesslive,128,32
resnet50,chesslive,128,32
nasnet_mobile,chesslive,128,32
mobilenet_v2,chesslive,128,32
vgg16,chesslive,128,32
resnet50,chesslive,128,32
xception,chesslive,128,32
nasnet_mobile,chesslive,128,32
mobilenet_v2,chesslive,128,32
vgg16,chesslive,128,32
resnet50,chesslive,128,32
resnet50,chesslive,128,32
nasnet_mobile,chesslive,128,32
nasnet_mobile,chesslive,128,32
resnet50,chesslive,128,32
mobilenet_v2,chesslive,128,32
mobilenet_v2,chesslive,128,32
mobilenet_v2,chesslive,128,32
resnet50,chesslive,128,32
resnet50,chesslive,128,32
xception,chesslive,128,32
xception,chesslive,128,32
nasnet_mobile,chesslive,128,32
xception,chesslive,128,32
nasnet_mobile,chesslive,128,32
mobilenet_v2,chesslive,128,32
nasnet_mobile,chesslive,128,32
vgg16,chesslive,128,32
vgg16,chesslive,128,32
nasnet_mobile,chesslive,128,32
mobilenet_v2,chesslive,128,32
resnet50,chesslive,128,32
nasnet_mobile,chesslive,128,32
resnet50,chesslive,128,32
xception,chesslive,128,32
xception,chesslive,128,32
vgg16,chesslive,128,32
vgg16,chesslive,128,32
nasnet_mobile,chesslive,128,32
vgg16,chesslive,128,32
nasnet_mobile,chesslive,128,32
vgg16,chesslive,128,32
nasnet_mobile,chesslive,128,32
mobilenet_v2,chesslive,128,32
xception,chesslive,128,32
vgg16,chesslive,128,32
nasnet_mobile,chesslive,128,32
mobilenet_v2,chesslive,128,32
resnet50,chesslive,128,32
nasnet_mobile,chesslive,128,32
mobilenet_v2,chesslive,128,32
xception,chesslive,128,32
resnet50,chesslive,128,32
xception,chesslive,128,32
xception,chesslive,128,32
xception,chesslive,128,32
nasnet_mobile,chesslive,128,32
mobilenet_v2,chesslive,128,32
nasnet_mobile,chesslive,128,32
resnet50,chesslive,128,32
nasnet_mobile,chesslive,128,32
vgg16,chesslive,128,32
mobilenet_v2,chesslive,128,32
vgg16,chesslive,128,32
mobilenet_v2,chesslive,128,32
vgg16,chesslive,128,32
mobilenet_v2,chesslive,128,32
xception,chesslive,128,32
mobilenet_v2,chesslive,128,32
xception,chesslive,128,32
xception,chesslive,128,32
vgg16,chesslive,128,32
xception,chesslive,128,32
resnet50,chesslive,128,32
vgg16,chesslive,128,32
mobilenet_v2,chesslive,128,32
resnet50,chesslive,128,32
mobilenet_v2,chesslive,128,32
xception,chesslive,128,32
xception,chesslive,128,32
mobilenet_v2,chesslive,128,32
mobilenet_v2,chesslive,128,32
vgg16,chesslive,128,32
mobilenet_v2,chesslive,128,32
mobilenet_v2,chesslive,128,32
mobilenet_v2,chesslive,128,32
vgg16,chesslive,128,32
resnet50,chesslive,128,32
xception,chesslive,128,32
vgg16,chesslive,128,32
vgg16,chesslive,128,32
vgg16,chesslive,128,32
resnet50,chesslive,128,32
mobilenet_v2,chesslive,128,32
nasnet_mobile,chesslive,128,32
vgg16,chesslive,128,32
xception,chesslive,128,32
xception,chesslive,128,32
resnet50,chesslive,128,32
xception,chesslive,128,32
vgg16,chesslive,128,32
nasnet_mobile,chesslive,128,32
xception,chesslive,128,32
mobilenet_v2,chesslive,128,32
resnet50,chesslive,128,32
xception,chesslive,128,32
vgg16,chesslive,128,32
nasnet_mobile,chesslive,128,32
xception,chesslive,128,32
mobilenet_v2,chesslive,128,32
resnet50,chesslive,128,32
mobilenet_v2,chesslive,128,32
mobilenet_v2,chesslive,128,32
nasnet_mobile,chesslive,128,32
nasnet_mobile,chesslive,128,32
mobilenet_v2,chesslive,128,32
xception,chesslive,128,32
resnet50,chesslive,128,32
vgg16,chesslive,128,32
vgg16,chesslive,128,32
vgg16,chesslive,128,32
vgg16,chesslive,128,32
mobilenet_v2,chesslive,128,32
